Source,Target,Value
9120011,9121001,7
9120011,9121101,7
9120101,9121001,7
9120101,9121011,7
9120111,9121001,7
9121101,9131101,7
9121101,9131111,7
9121111,9131101,7
9130001,9130011,7
9130001,9130101,7
9130001,9130111,7
9130001,9131001,7
9130001,9131011,7
9130001,9131101,7
9130001,9131111,7
9130011,9130101,7
9130011,9131001,7
9130011,9131101,7
9130101,9131001,7
9130101,9131011,7
9130111,9131001,7
9210110,9210111,7
9210110,9211110,7
9210110,9211111,7
9210110,9230110,7
9210110,9230111,7
9210110,9231110,7
9210110,9231111,7
9210111,9211110,7
9210111,9220111,7
9210111,9221111,7
9210111,9230110,7
9210111,9231110,7
9211011,9211111,7
9211011,9231011,7
9211011,9231111,7
9211110,9221110,7
9211110,9221111,7
9211110,9230110,7
9211110,9230111,7
9211111,9220111,7
9211111,9221110,7
9211111,9230110,7
9211111,9231011,7
9220010,9220011,7
9220010,9220110,7
9220010,9220111,7
9220010,9221010,7
9220010,9221011,7
9220010,9221110,7
9220010,9221111,7
9220011,9220110,7
9220011,9221010,7
9220011,9221110,7
9220011,9230011,7
9220011,9230111,7
9220011,9231011,7
9220011,9231111,7
9220110,9221010,7
9220110,9221011,7
9220111,9221010,7
9220111,9230011,7
9220111,9231011,7
9221010,9231010,7
9221010,9231011,7
9221010,9231110,7
9221010,9231111,7
9221011,9230011,7
9221011,9230111,7
9221011,9231010,7
9221011,9231110,7
9221110,9231010,7
9221110,9231011,7
9221111,9230011,7
9221111,9231010,7
9230010,9230011,7
9230010,9230110,7
9230010,9230111,7
9230010,9231010,7
9230010,9231011,7
9230010,9231110,7
9230010,9231111,7
9230011,9230110,7
9230011,9231010,7
9230011,9231110,7
9230110,9231010,7
9230110,9231011,7
9230111,9231010,7
9710110,9710111,7
9710110,9711110,7
9710110,9711111,7
9710110,9720110,7
9710110,9720111,7
9710110,9721110,7
9710110,9721111,7
9710111,9711110,7
9710111,9720110,7
9710111,9721110,7
9711010,9711011,7
9711010,9711110,7
9711010,9711111,7
9711010,9721010,7
9711010,9721011,7
9711010,9721110,7
9711010,9721111,7
9711011,9711110,7
9711011,9721010,7
9711011,9721110,7
9711110,9720110,7
9711110,9720111,7
9711110,9721010,7
9711110,9721011,7
9711111,9720110,7
9711111,9721010,7
9711111,9731111,7
9720110,9730110,7
9720110,9730111,7
9720110,9731110,7
9720110,9731111,7
9720111,9730110,7
9720111,9731110,7
9721010,9731010,7
9721010,9731011,7
9721010,9731110,7
9721010,9731111,7
9721011,9731010,7
9721011,9731110,7
9721110,9730110,7
9721110,9730111,7
9721110,9731010,7
9721110,9731011,7
9721111,9730110,7
9721111,9731010,7
1010110,1010111,6
1010110,1011110,6
1010110,1011111,6
1010110,1020110,6
1010110,1020111,6
1010110,1021110,6
1010110,1021111,6
1010110,1030110,6
1010110,1030111,6
1010110,1031110,6
1010110,1031111,6
1010111,1011110,6
1010111,1020110,6
1010111,1021110,6
1010111,1030110,6
1010111,1031110,6
1010111,1610111,6
1010111,1611111,6
1010111,1620111,6
1010111,1621111,6
1010111,1630111,6
1010111,1631111,6
1011011,1011111,6
1011011,1021011,6
1011011,1021111,6
1011011,1031011,6
1011011,1031111,6
1011100,1011101,6
1011100,1011110,6
1011100,1011111,6
1011100,1021100,6
1011100,1021101,6
1011100,1021110,6
1011100,1021111,6
1011100,1031100,6
1011100,1031101,6
1011100,1031110,6
